tex,image_path
\int \frac{x}{\sqrt{(-3)^2-x^2}} dx,images/img_0000000.png
\int \frac{x}{ax^2+9x-2} dx,images/img_0000001.png
\int \cos^2 5x dx,images/img_0000002.png
\int e^{8x^2} dx,images/img_0000003.png
\int (3x-3)^{3/2} dx,images/img_0000004.png
\int \frac{1}{(x+1)(x+9)} dx,images/img_0000005.png
\int \ln 6x dx,images/img_0000006.png
\int \tanh 7x dx,images/img_0000007.png
\int \frac{1}{\sqrt{e-x}} dx,images/img_0000008.png
\int\sqrt{x^2 + e^2} dx,images/img_0000009.png
\int \ln \left ( -2x^2 + 4x + 1\right) dx,images/img_0000010.png
\int x \sqrt{x^2 + 9^2} dx,images/img_0000011.png
\int x \sin 4x dx,images/img_0000012.png
\int \sinh -4x \cosh 6x dx,images/img_0000013.png
\int \sin 8x \cosh 9x dx,images/img_0000014.png
\int x^9 \cos ax dx,images/img_0000015.png
\int \sqrt{-1 x^2 -3 x -2} dx,images/img_0000016.png
\int (x-3)^6 dx,images/img_0000017.png
\int e^{-9x} \cos 6x dx,images/img_0000018.png
\int \ln ax dx,images/img_0000019.png
\int \cos^2 \cdot ex \sin -4x dx,images/img_0000020.png
\int \sqrt{\frac{x}{9-x}} dx,images/img_0000021.png
\int \sec^2 -5x dx,images/img_0000022.png
\int \sin -3x \cosh -5x dx,images/img_0000023.png
\int \sin 3x \sinh -5x dx,images/img_0000024.png
\int \frac{1}{(x+6)(x+4)} dx,images/img_0000025.png
\int x(x+9)^3 dx,images/img_0000026.png
\int \cos^3 4x dx,images/img_0000027.png
\int x^2 e^{+9x^2} {dx},images/img_0000028.png
\int \cos -5x dx,images/img_0000029.png
\int \sqrt{x^3(-2x-5)} dx,images/img_0000030.png
\int \frac{x}{\sqrt{1x^2+5x+8}} dx,images/img_0000031.png
\int x \sin -4x dx,images/img_0000032.png
\int \sqrt{6^2 - x^2} dx,images/img_0000033.png
\int \frac{1}{\sqrt{x^2 + 1^2}} dx,images/img_0000034.png
\int \frac{x}{4x^2+8x+3} dx,images/img_0000035.png
\int \frac{1}{-4x+6} dx,images/img_0000036.png
\int (4x-7)^{3/2} dx,images/img_0000037.png
\int x \sqrt{e x^2 -6x -8} dx,images/img_0000038.png
\int e^{4x} \cosh 6x dx,images/img_0000039.png
\int \frac{1}{\sqrt{(-9)^2 - x^2}} dx,images/img_0000040.png
\int \sqrt{x^3(1x-5)} dx,images/img_0000041.png
\int x \sqrt{-2x -3} dx,images/img_0000042.png
\int \sin^2 -8x \cos^2 -9x dx,images/img_0000043.png
\int x \sqrt{-3 x^2 -3x -1} dx,images/img_0000044.png
\int \frac{1}{(x-4)^2} dx,images/img_0000045.png
\int \sin^2 4x \cos -8x dx,images/img_0000046.png
\int \tanh 6x dx,images/img_0000047.png
\int e^{-6x} \cosh 4x dx,images/img_0000048.png
\int \cos -1x \sin 9x dx,images/img_0000049.png
\int \sin -2x \cosh -2x dx,images/img_0000050.png
\int \sqrt{-1 x^2 + 1 x + c} dx,images/img_0000051.png
\int x \ln \left ( 8^2 - (-1)^2 x^2 \right ) dx,images/img_0000052.png
\int \cos -7x \sinh -3x dx,images/img_0000053.png
\int e^{-9x} \cos -9x dx,images/img_0000054.png
\int \frac{1}{ex^2+7x-2} dx,images/img_0000055.png
\int \frac{x^2}{\sqrt{x^2 + e^2}} dx,images/img_0000056.png
\int \sin -8x \cosh -4x dx,images/img_0000057.png
\int \sqrt{\frac{x}{-3+x}} dx,images/img_0000058.png
\int \frac{x}{5x^2-8x+\pi } dx,images/img_0000059.png
\int \frac{1}{ex^2-8x-7} dx,images/img_0000060.png
\int \ln (2x -4) dx,images/img_0000061.png
\int x \ln (-8x -8) dx,images/img_0000062.png
\int \sin -5x \sinh -2x dx,images/img_0000063.png
\int x^3 \cos 8x dx,images/img_0000064.png
\int x(x+5)^n dx,images/img_0000065.png
\int \frac{1}{1x+9} dx,images/img_0000066.png
\int e^{-5x^2} dx,images/img_0000067.png
\int \sin -9x \cosh 4x dx,images/img_0000068.png
\int x(x+a)^4 dx,images/img_0000069.png
\int \frac{x^2}{\sqrt{x^2 + a^2}} dx,images/img_0000070.png
\int \cos^2 -8x \sin 2x dx,images/img_0000071.png
\int \sin 3x \cosh 7x dx,images/img_0000072.png
\int \sin^2 9x \cos 8x dx,images/img_0000073.png
\int \cos^p 9x dx,images/img_0000074.png
\int e^{5x} \tanh 8x dx,images/img_0000075.png
\int e^{-6x} dx,images/img_0000076.png
\int \cos^2 -3x dx,images/img_0000077.png
\int \tan^3 7x dx,images/img_0000078.png
\int \sin^n -3x dx,images/img_0000079.png
\int x^8 \cos ex dx,images/img_0000080.png
\int x \ln \left ( 6^2 - 9^2 x^2 \right ) dx,images/img_0000081.png
\int \sin^2 7x \cos^2 8x dx,images/img_0000082.png
\int \sin ex \sinh -1x dx,images/img_0000083.png
\int e^{\pi x} \sin -8x dx,images/img_0000084.png
\int \frac{x}{1x^2+1x-2} dx,images/img_0000085.png
\int x^2 e^{+6x^2} {dx},images/img_0000086.png
\int \ln ( x^2 + 3^2 ) {dx},images/img_0000087.png
\int \sqrt{8x+4} dx,images/img_0000088.png
\int x^9 \sin x dx,images/img_0000089.png
\int e^{-7x} \tanh -4x dx,images/img_0000090.png
\int \sin 2x \sinh -5x dx,images/img_0000091.png
\int \sin^3 \cdot ex dx,images/img_0000092.png
\int \sqrt{7 x^2 + b x + 9} dx,images/img_0000093.png
\int e^{1x} \sinh 5x dx,images/img_0000094.png
\int \sqrt{x^3(-4x+\pi )} dx,images/img_0000095.png
\int \sin 5x \cosh ex dx,images/img_0000096.png
\int \tan ex dx,images/img_0000097.png
\int \sqrt{\frac{x}{e+x}} dx,images/img_0000098.png
\int \frac{x}{-9x^2-7x+2} dx,images/img_0000099.png
\int \cos -8x \sin 2x dx,images/img_0000100.png
\int \sin^2 7x \cos 7x dx,images/img_0000101.png
\int\sqrt{x^2 + (-4)^2} dx,images/img_0000102.png
\int \sqrt{-3 x^2 + 6 x + 9} dx,images/img_0000103.png
\int \frac{x^2}{5^2+x^2} dx,images/img_0000104.png
\int \frac{x}{\sqrt{x^2+ 8^2}} dx,images/img_0000105.png
\int e^{1x} \sinh -2x dx,images/img_0000106.png
\int \sin^2 -7x \cos^2 -7x dx,images/img_0000107.png
\int \ln ( x^2 + 5^2 ) {dx},images/img_0000108.png
\int \cos^3 ax dx,images/img_0000109.png
\int \cos 4x \sin -5x dx,images/img_0000110.png
\int \sinh -2x \cosh -9x dx,images/img_0000111.png
\int x^2 e^{6x} dx,images/img_0000112.png
\int x(x-2)^n dx,images/img_0000113.png
\int \sin^2 9x \cos^2 5x dx,images/img_0000114.png
\int \sin^2 \cdot ex \cos 2x dx,images/img_0000115.png
\int \sqrt{x-9} dx,images/img_0000116.png
\int x^\pi \cos 8x dx,images/img_0000117.png
\int \cos 4x \cosh 2x dx,images/img_0000118.png
\int e^{-1x} \tanh -6x dx,images/img_0000119.png
\int \tan^3 -8x dx,images/img_0000120.png
\int x^2 \cos 2x dx,images/img_0000121.png
\int \frac{1}{-4x+5} dx,images/img_0000122.png
\int \cos^2 \cdot ex \sin ex dx,images/img_0000123.png
\int \tan^3 5x dx,images/img_0000124.png
\int \tan^2 -6x dx,images/img_0000125.png
\int \cos^3 -6x dx,images/img_0000126.png
\int e^{-8x} \sin -2x dx,images/img_0000127.png
\int x \sin -6x dx,images/img_0000128.png
\int \ln \left ( 1x^2 + 7x -9\right) dx,images/img_0000129.png
\int \sqrt{x^3(-5x-2)} dx,images/img_0000130.png
